FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
triton_red_fused__to_copy_div_expand_mul_sigmoid_sub...         0.00%     317.475us         0.00%     414.031us      27.602us     433.549ms         7.20%     433.549ms      28.903ms            15  
triton_red_fused__to_copy_div_expand_mul_sigmoid_sub...         0.00%       0.000us         0.00%       0.000us       0.000us     433.549ms         7.20%     433.549ms      28.903ms            15  
## Call CompiledFxGraph fm2btotd6suycfx4ihflheojxnas...         0.00%       0.000us         0.00%       0.000us       0.000us     433.549ms         7.20%     433.549ms      28.903ms            15  
                                       aten::layer_norm         0.01%       1.123ms         0.10%      15.309ms      40.501us       0.000us         0.00%     196.976ms     521.101us           378  
               aten::_scaled_dot_product_attention_math         0.00%     192.720us         0.03%       4.653ms     387.778us       0.000us         0.00%     195.401ms      16.283ms            12  
                                              aten::bmm         0.02%       2.991ms         0.03%       4.111ms      25.854us     141.047ms         2.34%     141.994ms     893.044us           159  
autograd::engine::evaluate_function: NativeLayerNorm...         0.01%       2.059ms         0.10%      16.427ms      76.052us       0.000us         0.00%     114.281ms     529.077us           216  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     112.200ms         1.86%     112.200ms      93.267us          1203  
                               NativeLayerNormBackward0         0.01%     930.019us         0.09%      14.225ms      65.858us       0.000us         0.00%     111.944ms     518.258us           216  
                       aten::native_layer_norm_backward         0.01%       2.347ms         0.08%      13.295ms      61.552us     100.895ms         1.67%     111.944ms     518.258us           216  
[pl][module]hepattn.models.decoder.MaskFormerDecoder...         0.00%     276.501us         0.11%      17.471ms       5.824ms       0.000us         0.00%     110.240ms      36.747ms             3  
[pl][module]hepattn.models.decoder.MaskFormerDecoder...         0.00%     279.452us         0.09%      14.285ms       4.762ms       0.000us         0.00%     103.915ms      34.638ms             3  
[pl][module]hepattn.models.decoder.MaskFormerDecoder...         0.00%     247.654us         0.08%      12.269ms       4.090ms       0.000us         0.00%     103.834ms      34.611ms             3  
[pl][module]hepattn.models.decoder.MaskFormerDecoder...         0.00%     271.246us         0.08%      13.200ms       4.400ms       0.000us         0.00%     103.657ms      34.552ms             3  
autograd::engine::evaluate_function: ToCopyBackward0...         0.03%       5.234ms         0.13%      21.501ms      18.664us       0.000us         0.00%     100.264ms      87.035us          1152  
                                aten::native_layer_norm         0.02%       3.008ms         0.04%       6.512ms      30.149us      95.033ms         1.58%      96.184ms     445.298us           216  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us      95.033ms         1.58%      95.033ms     439.966us           216  
autograd::engine::evaluate_function: ScaledDotProduc...         0.00%     177.572us         0.01%       2.296ms     191.366us       0.000us         0.00%      93.281ms       7.773ms            12  
            ScaledDotProductEfficientAttentionBackward0         0.01%     843.050us         0.01%       2.119ms     176.568us       0.000us         0.00%      93.281ms       7.773ms            12  
aten::_scaled_dot_product_efficient_attention_backwa...         0.00%     596.139us         0.01%       1.276ms     106.314us       0.000us         0.00%      93.281ms       7.773ms            12  
                    aten::_efficient_attention_backward         0.00%     168.384us         0.00%     569.267us      47.439us      88.396ms         1.47%      93.281ms       7.773ms            12  
      autograd::engine::evaluate_function: BmmBackward0         0.00%     329.364us         0.02%       2.452ms      54.483us       0.000us         0.00%      90.212ms       2.005ms            45  
                                           BmmBackward0         0.00%     183.857us         0.01%       2.122ms      47.164us       0.000us         0.00%      90.212ms       2.005ms            45  
fmha_cutlassB_bf16_aligned_64x64_k32_sm80(PyTorchMem...         0.00%       0.000us         0.00%       0.000us       0.000us      88.396ms         1.47%      88.396ms       7.366ms            12  
    autograd::engine::evaluate_function: AddmmBackward0         0.03%       4.318ms         0.31%      49.359ms     140.623us       0.000us         0.00%      86.939ms     247.689us           351  
                                             aten::add_         0.05%       7.835ms         0.21%      33.565ms      13.304us      85.981ms         1.43%      86.070ms      34.114us          2523  
[pl][module]hepattn.models.maskformer.MaskFormer: mo...         0.00%       0.000us         0.00%       0.000us       0.000us      84.953ms         1.41%      84.953ms      28.318ms             3  
[pl][module]hepattn.models.encoder.Encoder: model.en...         0.00%       0.000us         0.00%       0.000us       0.000us      82.883ms         1.38%      82.883ms      27.628ms             3  
                                        ToCopyBackward0         0.01%       1.703ms         0.09%      15.132ms      13.135us       0.000us         0.00%      81.082ms      70.384us          1152  
                                            aten::clone         0.02%       3.965ms         0.16%      26.506ms      18.330us       0.000us         0.00%      78.049ms      53.976us          1446  
                                    aten::_safe_softmax         0.00%     133.759us         0.01%       1.055ms      87.925us       0.000us         0.00%      75.663ms       6.305ms            12  
[pl][module]hepattn.models.encoder.Residual: model.d...         0.00%     199.479us         0.03%       5.230ms       1.743ms       0.000us         0.00%      63.543ms      21.181ms             3  
[pl][module]hepattn.models.encoder.Encoder: model.en...         0.01%       1.797ms         0.42%      67.908ms      22.636ms       0.000us         0.00%      63.468ms      21.156ms             3  
[pl][module]hepattn.models.encoder.Residual: model.d...         0.00%     189.063us         0.03%       4.685ms       1.562ms       0.000us         0.00%      60.992ms      20.331ms             3  
[pl][module]hepattn.models.encoder.Residual: model.d...         0.00%     170.921us         0.03%       4.066ms       1.355ms       0.000us         0.00%      60.919ms      20.306ms             3  
[pl][module]hepattn.models.encoder.Residual: model.d...         0.00%     190.983us         0.03%       4.287ms       1.429ms       0.000us         0.00%      60.743ms      20.248ms             3  
