FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::(anonymous namespace)::layer_norm_g...         0.00%       0.000us         0.00%       0.000us       0.000us      41.291ms         4.96%      41.291ms     191.163us           216  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      39.112ms         4.70%      39.112ms     117.452us           333  
                                    aten::_safe_softmax         0.00%     133.590us         0.02%     947.757us      78.980us       0.000us         0.00%      38.071ms       3.173ms            12  
                                             aten::add_         0.14%       8.153ms         0.28%      16.629ms       6.670us      37.450ms         4.50%      37.450ms      15.022us          2493  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      33.903ms         4.07%      33.903ms      28.182us          1203  
[pl][module]hepattn.models.encoder.Residual: model.d...         0.00%     193.495us         0.08%       5.075ms       1.692ms       0.000us         0.00%      31.473ms      10.491ms             3  
[pl][module]hepattn.models.encoder.Encoder: model.en...         0.03%       1.735ms         1.03%      61.665ms      20.555ms       0.000us         0.00%      31.150ms      10.383ms             3  
                             Torch-Compiled Region: 2/0         0.00%      96.415us         0.01%     321.374us     107.125us       0.000us         0.00%      30.261ms      10.087ms             3  
## Call CompiledFxGraph fmpotnlu6qrbppglvfcnt55nlbur...         0.00%     122.043us         0.00%     178.721us      59.574us       0.000us         0.00%      30.261ms      10.087ms             3  
          triton_red_fused_log_mean_mul_neg_unsqueeze_0         0.00%      32.793us         0.00%      52.478us      17.493us      30.261ms         3.63%      30.261ms      10.087ms             3  
          triton_red_fused_log_mean_mul_neg_unsqueeze_0         0.00%       0.000us         0.00%       0.000us       0.000us      30.261ms         3.63%      30.261ms      10.087ms             3  
## Call CompiledFxGraph fmpotnlu6qrbppglvfcnt55nlbur...         0.00%       0.000us         0.00%       0.000us       0.000us      30.261ms         3.63%      30.261ms      10.087ms             3  
[pl][module]hepattn.models.encoder.Residual: model.d...         0.00%     185.008us         0.07%       4.415ms       1.472ms       0.000us         0.00%      29.680ms       9.893ms             3  
[pl][module]hepattn.models.encoder.Residual: model.d...         0.00%     183.218us         0.07%       4.398ms       1.466ms       0.000us         0.00%      29.680ms       9.893ms             3  
[pl][module]hepattn.models.encoder.Residual: model.d...         0.00%     182.663us         0.07%       4.378ms       1.459ms       0.000us         0.00%      29.675ms       9.892ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.01%     552.779us         0.07%       4.049ms       1.350ms       0.000us         0.00%      29.468ms       9.823ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.01%     542.766us         0.07%       4.062ms       1.354ms       0.000us         0.00%      29.467ms       9.822ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.01%     543.298us         0.08%       4.536ms       1.512ms       0.000us         0.00%      29.467ms       9.822ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.01%     618.105us         0.07%       4.025ms       1.342ms       0.000us         0.00%      29.462ms       9.821ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%       0.000us         0.00%       0.000us       0.000us      29.431ms         3.53%      29.431ms       9.810ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%       0.000us         0.00%       0.000us       0.000us      29.430ms         3.53%      29.430ms       9.810ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%       0.000us         0.00%       0.000us       0.000us      29.430ms         3.53%      29.430ms       9.810ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%       0.000us         0.00%       0.000us       0.000us      29.425ms         3.53%      29.425ms       9.808ms             3  
