FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    aten::_safe_softmax         0.00%     129.846us         0.03%     905.891us      75.491us       0.000us         0.00%      38.068ms       3.172ms            12  
                                 aten::_index_put_impl_         0.13%       3.886ms         7.58%     219.187ms       2.214ms      23.896ms         1.82%      37.384ms     377.617us            99  
                                             aten::add_         0.23%       6.535ms         0.48%      13.801ms       5.536us      36.946ms         2.81%      36.946ms      14.820us          2493  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      33.854ms         2.58%      33.854ms      28.141us          1203  
[pl][module]hepattn.models.encoder.Residual: model.d...         0.01%     201.834us         0.17%       4.884ms       1.628ms       0.000us         0.00%      31.457ms      10.486ms             3  
[pl][module]hepattn.models.encoder.Encoder: model.en...         0.07%       1.934ms         1.89%      54.601ms      18.200ms       0.000us         0.00%      31.135ms      10.378ms             3  
                             Torch-Compiled Region: 2/0         0.00%     102.217us         0.01%     332.513us     110.838us       0.000us         0.00%      30.252ms      10.084ms             3  
## Call CompiledFxGraph fmpotnlu6qrbppglvfcnt55nlbur...         0.00%     124.827us         0.01%     181.447us      60.482us       0.000us         0.00%      30.252ms      10.084ms             3  
          triton_red_fused_log_mean_mul_neg_unsqueeze_0         0.00%      31.878us         0.00%      52.648us      17.549us      30.252ms         2.30%      30.252ms      10.084ms             3  
          triton_red_fused_log_mean_mul_neg_unsqueeze_0         0.00%       0.000us         0.00%       0.000us       0.000us      30.252ms         2.30%      30.252ms      10.084ms             3  
## Call CompiledFxGraph fmpotnlu6qrbppglvfcnt55nlbur...         0.00%       0.000us         0.00%       0.000us       0.000us      30.252ms         2.30%      30.252ms      10.084ms             3  
[pl][module]hepattn.models.encoder.Residual: model.d...         0.01%     152.839us         0.13%       3.685ms       1.228ms       0.000us         0.00%      29.679ms       9.893ms             3  
[pl][module]hepattn.models.encoder.Residual: model.d...         0.01%     150.088us         0.13%       3.728ms       1.243ms       0.000us         0.00%      29.675ms       9.892ms             3  
[pl][module]hepattn.models.encoder.Residual: model.d...         0.01%     151.042us         0.12%       3.568ms       1.189ms       0.000us         0.00%      29.670ms       9.890ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.02%     443.111us         0.12%       3.384ms       1.128ms       0.000us         0.00%      29.466ms       9.822ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.02%     513.181us         0.12%       3.440ms       1.147ms       0.000us         0.00%      29.462ms       9.821ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.02%     437.331us         0.11%       3.281ms       1.094ms       0.000us         0.00%      29.457ms       9.819ms             3  
