FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    aten::_safe_softmax         0.00%     131.353us         0.01%       1.160ms      96.640us       0.000us         0.00%      75.675ms       6.306ms            12  
[pl][module]hepattn.models.encoder.Residual: model.d...         0.00%     181.890us         0.06%       5.404ms       1.801ms       0.000us         0.00%      63.792ms      21.264ms             3  
[pl][module]hepattn.models.encoder.Encoder: model.en...         0.03%       2.422ms         0.77%      68.147ms      22.716ms       0.000us         0.00%      63.534ms      21.178ms             3  
[pl][module]hepattn.models.encoder.Residual: model.d...         0.00%     172.951us         0.05%       4.549ms       1.516ms       0.000us         0.00%      61.237ms      20.412ms             3  
[pl][module]hepattn.models.encoder.Residual: model.d...         0.00%     160.994us         0.05%       4.382ms       1.461ms       0.000us         0.00%      61.157ms      20.386ms             3  
[pl][module]hepattn.models.encoder.Residual: model.d...         0.00%     168.752us         0.05%       4.322ms       1.441ms       0.000us         0.00%      60.978ms      20.326ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.01%     546.389us         0.06%       4.877ms       1.626ms       0.000us         0.00%      60.423ms      20.141ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.01%     517.948us         0.05%       4.205ms       1.402ms       0.000us         0.00%      60.416ms      20.139ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.01%     501.461us         0.05%       4.062ms       1.354ms       0.000us         0.00%      60.336ms      20.112ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%       0.000us         0.00%       0.000us       0.000us      60.287ms         4.08%      60.287ms      20.096ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%       0.000us         0.00%       0.000us       0.000us      60.280ms         4.08%      60.280ms      20.093ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%       0.000us         0.00%       0.000us       0.000us      60.198ms         4.07%      60.198ms      20.066ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.01%     675.550us         0.05%       3.986ms       1.329ms       0.000us         0.00%      60.157ms      20.052ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%       0.000us         0.00%       0.000us       0.000us      60.020ms         4.06%      60.020ms      20.007ms             3  
                                           aten::linear         0.04%       3.355ms         0.98%      86.364ms     130.263us       0.000us         0.00%      58.740ms      88.597us           663  
autograd::engine::evaluate_function: ScaledDotProduc...         0.00%     158.122us         0.02%       1.746ms     145.532us       0.000us         0.00%      57.872ms       4.823ms            12  
                ScaledDotProductFlashAttentionBackward0         0.01%     444.885us         0.02%       1.588ms     132.355us       0.000us         0.00%      57.872ms       4.823ms            12  
     aten::_scaled_dot_product_flash_attention_backward         0.01%     446.363us         0.01%       1.143ms      95.281us       0.000us         0.00%      57.872ms       4.823ms            12  
                        aten::_flash_attention_backward         0.00%     180.210us         0.01%     596.330us      49.694us      57.872ms         3.91%      57.872ms       4.823ms            12  
                                           aten::matmul         0.00%     338.943us         0.03%       2.262ms      75.389us       0.000us         0.00%      56.007ms       1.867ms            30  
                                              aten::sum         0.08%       7.296ms         0.16%      14.202ms      16.968us      51.508ms         3.48%      51.945ms      62.060us           837  
void pytorch_flash::flash_bwd_dq_dk_dv_loop_seqk_par...         0.00%       0.000us         0.00%       0.000us       0.000us      49.968ms         3.38%      49.968ms       4.164ms            12  
                                               aten::mm         0.34%      30.032ms         0.40%      35.057ms      49.939us      49.893ms         3.37%      49.893ms      71.072us           702  
                                         AddmmBackward0         0.02%       1.857ms         0.45%      39.372ms     112.170us       0.000us         0.00%      49.763ms     141.776us           351  
void at::native::(anonymous namespace)::layer_norm_g...         0.00%       0.000us         0.00%       0.000us       0.000us      48.059ms         3.25%      48.059ms     222.493us           216  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      47.868ms         3.24%      47.868ms       1.596ms            30  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      47.492ms         3.21%      47.492ms      35.979us          1320  
[pl][module]hepattn.models.matcher.Matcher: model.ma...         0.00%       0.000us         0.00%       0.000us       0.000us      46.609ms         3.15%      46.609ms      15.536ms             3  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us      45.894ms         3.10%      45.894ms       1.912ms            24  
                                 aten::_index_put_impl_         0.07%       6.149ms         7.22%     637.139ms       6.436ms      26.067ms         1.76%      45.872ms     463.358us            99  
