FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
[pl][module]hepattn.models.encoder.Residual: model.d...         0.00%     145.481us         0.09%       3.899ms       1.300ms       0.000us         0.00%      81.839ms      27.280ms             3  
[pl][module]hepattn.models.encoder.Residual: model.d...         0.00%     134.904us         0.08%       3.293ms       1.098ms       0.000us         0.00%      79.940ms      26.647ms             3  
[pl][module]hepattn.models.encoder.Residual: model.d...         0.00%     134.526us         0.08%       3.343ms       1.114ms       0.000us         0.00%      79.904ms      26.635ms             3  
[pl][module]hepattn.models.encoder.Residual: model.d...         0.00%     131.810us         0.08%       3.334ms       1.111ms       0.000us         0.00%      79.875ms      26.625ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.01%     395.527us         0.07%       3.027ms       1.009ms       0.000us         0.00%      78.667ms      26.222ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.01%     385.754us         0.07%       3.079ms       1.026ms       0.000us         0.00%      78.635ms      26.212ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.01%     432.277us         0.07%       3.071ms       1.024ms       0.000us         0.00%      78.615ms      26.205ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%       0.000us         0.00%       0.000us       0.000us      78.473ms         4.53%      78.473ms      26.158ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.01%     408.516us         0.08%       3.491ms       1.164ms       0.000us         0.00%      78.451ms      26.150ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%       0.000us         0.00%       0.000us       0.000us      78.442ms         4.53%      78.442ms      26.147ms             3  
                                            aten::clone         0.06%       2.631ms         0.59%      25.469ms      17.577us       0.000us         0.00%      78.436ms      54.131us          1449  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%       0.000us         0.00%       0.000us       0.000us      78.422ms         4.52%      78.422ms      26.141ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%       0.000us         0.00%       0.000us       0.000us      78.257ms         4.51%      78.257ms      26.086ms             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      68.961ms         3.98%      68.961ms       1.437ms            48  
autograd::engine::evaluate_function: SelectBackward0...         0.01%     518.637us         0.10%       4.296ms      31.820us       0.000us         0.00%      64.793ms     479.950us           135  
void (anonymous namespace)::softmax_warp_backward<fl...         0.00%       0.000us         0.00%       0.000us       0.000us      62.321ms         3.60%      62.321ms       5.193ms            12  
void at::native::(anonymous namespace)::GammaBetaBac...         0.00%       0.000us         0.00%       0.000us       0.000us      62.252ms         3.59%      62.252ms     441.504us           141  
                                           aten::matmul         0.00%     177.524us         0.04%       1.854ms      61.784us       0.000us         0.00%      61.775ms       2.059ms            30  
[pl][module]hepattn.models.maskformer.MaskFormer: mo...         0.00%       0.000us         0.00%       0.000us       0.000us      58.632ms         3.38%      58.632ms      19.544ms             3  
[pl][module]hepattn.models.encoder.Encoder: model.en...         0.00%       0.000us         0.00%       0.000us       0.000us      57.152ms         3.30%      57.152ms      19.051ms             3  
                                aten::native_layer_norm         0.05%       2.107ms         0.11%       4.874ms      22.567us      52.841ms         3.05%      54.075ms     250.349us           216  
[pl][module]hepattn.models.encoder.Encoder: model.en...         0.03%       1.403ms         0.66%      28.427ms       9.476ms       0.000us         0.00%      53.969ms      17.990ms             3  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us      52.841ms         3.05%      52.841ms     244.634us           216  
autograd::engine::evaluate_function: ScaledDotProduc...         0.00%     132.540us         0.04%       1.570ms     130.799us       0.000us         0.00%      48.367ms       4.031ms            12  
            ScaledDotProductEfficientAttentionBackward0         0.01%     312.676us         0.03%       1.437ms     119.754us       0.000us         0.00%      48.367ms       4.031ms            12  
aten::_scaled_dot_product_efficient_attention_backwa...         0.01%     544.794us         0.03%       1.124ms      93.698us       0.000us         0.00%      48.367ms       4.031ms            12  
                    aten::_efficient_attention_backward         0.00%     154.733us         0.01%     484.145us      40.345us      39.528ms         2.28%      48.367ms       4.031ms            12  
