FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
               aten::_scaled_dot_product_attention_math         0.00%     155.224us         0.02%       3.900ms     325.031us       0.000us         0.00%     195.772ms      16.314ms            12  
                                               aten::to         0.02%       3.462ms         0.82%     134.491ms      30.538us       0.000us         0.00%     188.497ms      42.801us          4404  
                                         aten::_to_copy         0.04%       5.816ms         0.80%     131.029ms      45.639us       0.000us         0.00%     188.497ms      65.656us          2871  
                                              aten::bmm         0.02%       2.570ms         0.02%       3.532ms      22.216us     141.059ms         3.03%     142.006ms     893.118us           159  
autograd::engine::evaluate_function: NativeLayerNorm...         0.01%       1.708ms         0.09%      14.936ms      69.150us       0.000us         0.00%     114.419ms     529.719us           216  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     112.206ms         2.41%     112.206ms      93.272us          1203  
                               NativeLayerNormBackward0         0.01%       1.817ms         0.08%      13.111ms      60.699us       0.000us         0.00%     112.082ms     518.900us           216  
                       aten::native_layer_norm_backward         0.01%       2.053ms         0.07%      11.294ms      52.288us     101.002ms         2.17%     112.082ms     518.900us           216  
[pl][module]hepattn.models.decoder.MaskFormerDecoder...         0.00%     248.878us         0.13%      21.662ms       7.221ms       0.000us         0.00%     110.470ms      36.823ms             3  
[pl][module]hepattn.models.decoder.MaskFormerDecoder...         0.00%     217.493us         0.07%      10.677ms       3.559ms       0.000us         0.00%     104.081ms      34.694ms             3  
[pl][module]hepattn.models.decoder.MaskFormerDecoder...         0.00%     214.482us         0.06%      10.589ms       3.530ms       0.000us         0.00%     103.970ms      34.657ms             3  
[pl][module]hepattn.models.decoder.MaskFormerDecoder...         0.00%     208.198us         0.06%      10.522ms       3.507ms       0.000us         0.00%     103.791ms      34.597ms             3  
autograd::engine::evaluate_function: ToCopyBackward0...         0.03%       5.298ms         0.13%      21.829ms      18.949us       0.000us         0.00%     100.260ms      87.031us          1152  
                                aten::native_layer_norm         0.01%       2.307ms         0.03%       5.015ms      23.220us      95.224ms         2.05%      96.378ms     446.192us           216  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us      95.224ms         2.05%      95.224ms     440.851us           216  
autograd::engine::evaluate_function: ScaledDotProduc...         0.00%     158.559us         0.02%       2.892ms     240.994us       0.000us         0.00%      93.302ms       7.775ms            12  
            ScaledDotProductEfficientAttentionBackward0         0.00%     437.201us         0.02%       2.733ms     227.780us       0.000us         0.00%      93.302ms       7.775ms            12  
aten::_scaled_dot_product_efficient_attention_backwa...         0.01%       1.645ms         0.01%       2.296ms     191.347us       0.000us         0.00%      93.302ms       7.775ms            12  
                    aten::_efficient_attention_backward         0.00%     164.579us         0.00%     555.925us      46.327us      88.416ms         1.90%      93.302ms       7.775ms            12  
      autograd::engine::evaluate_function: BmmBackward0         0.00%     263.282us         0.01%       2.183ms      48.521us       0.000us         0.00%      90.204ms       2.005ms            45  
                                           BmmBackward0         0.00%     167.403us         0.01%       1.920ms      42.671us       0.000us         0.00%      90.204ms       2.005ms            45  
fmha_cutlassB_bf16_aligned_64x64_k32_sm80(PyTorchMem...         0.00%       0.000us         0.00%       0.000us       0.000us      88.416ms         1.90%      88.416ms       7.368ms            12  
    autograd::engine::evaluate_function: AddmmBackward0         0.02%       3.636ms         0.25%      41.646ms     118.650us       0.000us         0.00%      87.775ms     250.072us           351  
                                             aten::add_         0.05%       7.770ms         0.22%      36.758ms      14.569us      85.517ms         1.84%      85.595ms      33.926us          2523  
[pl][module]hepattn.models.maskformer.MaskFormer: mo...         0.00%       0.000us         0.00%       0.000us       0.000us      84.217ms         1.81%      84.217ms      28.072ms             3  
[pl][module]hepattn.models.encoder.Encoder: model.en...         0.00%       0.000us         0.00%       0.000us       0.000us      82.189ms         1.77%      82.189ms      27.396ms             3  
                                        ToCopyBackward0         0.02%       3.333ms         0.09%      15.516ms      13.468us       0.000us         0.00%      81.078ms      70.381us          1152  
                                            aten::clone         0.03%       4.634ms         0.16%      26.200ms      18.081us       0.000us         0.00%      80.463ms      55.530us          1449  
                                    aten::_safe_softmax         0.00%     109.019us         0.01%     904.968us      75.414us       0.000us         0.00%      75.695ms       6.308ms            12  
[pl][module]hepattn.models.encoder.Residual: model.d...         0.00%     173.408us         0.03%       5.352ms       1.784ms       0.000us         0.00%      63.678ms      21.226ms             3  
[pl][module]hepattn.models.encoder.Encoder: model.en...         0.02%       3.448ms         0.36%      59.330ms      19.777ms       0.000us         0.00%      63.507ms      21.169ms             3  
[pl][module]hepattn.models.encoder.Residual: model.d...         0.00%     151.580us         0.02%       3.524ms       1.175ms       0.000us         0.00%      61.110ms      20.370ms             3  
[pl][module]hepattn.models.encoder.Residual: model.d...         0.00%     153.767us         0.02%       3.544ms       1.181ms       0.000us         0.00%      61.018ms      20.339ms             3  
[pl][module]hepattn.models.encoder.Residual: model.d...         0.00%     151.700us         0.02%       3.395ms       1.132ms       0.000us         0.00%      60.846ms      20.282ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%     481.476us         0.03%       4.879ms       1.626ms       0.000us         0.00%      60.294ms      20.098ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%     438.534us         0.02%       3.223ms       1.074ms       0.000us         0.00%      60.286ms      20.095ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%     431.782us         0.02%       3.251ms       1.084ms       0.000us         0.00%      60.193ms      20.064ms             3  
[pl][module]hepattn.models.attention.Attention: mode...         0.00%       0.000us         0.00%       0.000us       0.000us      60.154ms         1.29%      60.154ms      20.051ms             3  
